OTIDES 100 2 0  1 11 021         -0.01219990     0.00000000           18i+     11101  055.5655 
OTIDES 100 2 0  1  1-112         -0.01176698    -0.02376708           Sa        1092  056.5545 
OTIDES 100 3 0  1  1-112          0.03721773    -0.03588334           Sa        1092  056.5545 
OTIDES 100 4 0  1  1-112         -0.00041578    -0.00005940           Sa        1092  056.5545 
OTIDES 100 5 0  1  1-112          0.00081999    -0.00000372           Sa        1092  056.5545 
OTIDES 100 6 0  1  1-112         -0.00064074     0.00086940           Sa        1092  056.5545 
OTIDES 100 7 0  1  1-112          0.00066300     0.00036400           Sa        1092  056.5545 
OTIDES 100 8 0  1  1-112         -0.00021400    -0.00012200           Sa        1092  056.5545 
OTIDES 100 9 6 -1 20 012     -0.28595657E-08-0.40065150E-09           Ssa+   2020102  057.5555 
OTIDES-100 9 6 -1 20 012      0.22117853E-08 0.15081645E-08           Ssa-   3020102  057.5555 
OTIDES 100 9 7 -1 20 012      0.74303660E-09-0.26082499E-10           Ssa+   2020102  057.5555 
OTIDES-100 9 7 -1 20 012     -0.53297400E-10 0.24884410E-09           Ssa-   3020102  057.5555 
OTIDES 100 9 8 -1 20 012     -0.87740700E-11-0.37012875E-10           Ssa+   2020102  057.5555 
OTIDES-100 9 8 -1 20 012      0.62931570E-10 0.25605395E-10           Ssa-   3020102  057.5555 
OTIDES 100 9 9 -1 20 012     -0.63473750E-11 0.47354170E-11           Ssa+   2020102  057.5555 
OTIDES-100 9 9 -1 20 012     -0.22479625E-10 0.11802463E-10           Ssa-   3020102  057.5555 
OTIDES 10010 0 -1 20 012      0.12911490E-02 0.46056750E-03           Ssa+   2020102  057.5555 
OTIDES 10010 1 -1 20 012     -0.73983310E-04-0.49753780E-04           Ssa+   2020102  057.5555 
OTIDES-10010 1 -1 20 012     -0.10675619E-03 0.11100342E-03           Ssa-   3020102  057.5555 
OTIDES 10010 2 -1 20 012      0.69156675E-05-0.82458360E-05           Ssa+   2020102  057.5555 
OTIDES-10010 2 -1 20 012      0.59079225E-05-0.11000930E-05           Ssa-   3020102  057.5555 
OTIDES 10010 3 -1 20 012      0.34266685E-05-0.14632316E-05           Ssa+   2020102  057.5555 
